iter	Logloss	Accuracy
0	0.6570819188	0.8996248606
1	0.620362288	0.8964818007
2	0.589749452	0.8993206935
3	0.5628448164	0.9003345838
4	0.5297825647	0.901044307
5	0.5037477884	0.9024637534
6	0.4787343486	0.904288756
7	0.4572251876	0.9047957011
8	0.4416366105	0.904288756
9	0.4260569593	0.9036804218
10	0.4114553288	0.904491534
11	0.3965440643	0.9041873669
12	0.3831228228	0.904491534
13	0.37180495	0.9048970901
14	0.3632095431	0.904288756
15	0.3535064349	0.904288756
16	0.3448385985	0.9048970901
17	0.3365689456	0.9048970901
18	0.3292906783	0.904592923
19	0.3230257875	0.9054040353
20	0.3168618716	0.9055054243
21	0.3099170672	0.9052012572
22	0.3046777634	0.9054040353
23	0.2981076106	0.9062151475
24	0.2917487717	0.9065193146
25	0.2873044623	0.9066207036
26	0.28335563	0.9070262598
27	0.2806072251	0.9072290378
28	0.2770202381	0.9072290378
29	0.2721070528	0.907837372
30	0.2678263332	0.9085470952
31	0.2636198969	0.9088512623
32	0.2603511212	0.9092568184
33	0.2580967433	0.9097637636
34	0.2560967917	0.9098651526
35	0.2542014787	0.9098651526
36	0.2523771954	0.9103720977
37	0.2507576032	0.9098651526
38	0.2483479651	0.9101693197
39	0.2473545442	0.9102707087
40	0.2460438736	0.9108790429
41	0.2443717998	0.9104734868
42	0.2425559095	0.9105748758
43	0.2415152953	0.9100679306
44	0.2399562247	0.91118321
45	0.2384943408	0.9114873771
46	0.2374177028	0.9118929332
47	0.2367742167	0.9119943222
48	0.2357781207	0.9119943222
49	0.2349619338	0.9117915442
50	0.2340933531	0.9115887661
51	0.2333166072	0.9120957112
52	0.2322731471	0.9120957112
53	0.2318225097	0.9114873771
54	0.2307792234	0.9118929332
55	0.2302653344	0.9116901551
56	0.2296469888	0.9115887661
57	0.2290182168	0.9115887661
58	0.2283905727	0.9115887661
59	0.2277576996	0.9117915442
60	0.2264620956	0.9122984893
61	0.2259517914	0.9122984893
62	0.2246676063	0.9128054345
63	0.2242736206	0.9127040454
64	0.2237155336	0.9126026564
65	0.2234701498	0.9125012674
66	0.2232378345	0.9123998783
67	0.2219735699	0.9121971003
68	0.2214414315	0.9125012674
69	0.2209274139	0.9129068235
70	0.2205428275	0.9134137686
71	0.2200407107	0.9133123796
72	0.2197959292	0.9134137686
73	0.219482488	0.9132109906
74	0.2189875246	0.9133123796
75	0.2184858349	0.9133123796
76	0.2179754953	0.9139207138
77	0.2175357366	0.9141234918
78	0.2170820716	0.9138193247
79	0.2166957341	0.9144276589
80	0.2164176219	0.914731826
81	0.2161112113	0.914731826
82	0.2157018829	0.9155429383
83	0.2152764644	0.9155429383
84	0.2150624693	0.9154415492
85	0.2148008397	0.9157457163
86	0.2144415211	0.9157457163
87	0.2140895642	0.9157457163
88	0.2136345111	0.9155429383
89	0.2134653205	0.9156443273
90	0.2132053689	0.9160498834
91	0.2129935251	0.9158471053
92	0.2128057216	0.9163540505
93	0.2124258669	0.9165568286
94	0.2120320973	0.9164554395
95	0.2116168152	0.9169623847
96	0.2110295334	0.9168609956
97	0.2108040241	0.9171651627
98	0.2105565495	0.9174693298
99	0.2101987042	0.9174693298
100	0.2097613324	0.9175707188
101	0.2095669967	0.9175707188
102	0.2093107356	0.9175707188
103	0.2091381655	0.9171651627
104	0.2089970191	0.9173679408
105	0.2087754855	0.9174693298
106	0.2084565531	0.9175707188
107	0.2083639945	0.918077664
108	0.2081605359	0.9183818311
109	0.2079599625	0.9184832201
110	0.2077826329	0.9183818311
111	0.2074850482	0.9184832201
112	0.2073470638	0.918179053
113	0.2068938543	0.9184832201
114	0.2066603504	0.9182804421
115	0.2064331721	0.9182804421
116	0.2062127212	0.9184832201
117	0.2060397688	0.9185846091
118	0.2056280683	0.9185846091
119	0.2054231729	0.9187873872
120	0.2052584728	0.9189901653
121	0.2050394503	0.9188887762
122	0.2048750205	0.9187873872
123	0.204782769	0.9187873872
124	0.2045456224	0.9190915543
125	0.2043629205	0.9187873872
126	0.2042032095	0.9187873872
127	0.2040841087	0.9190915543
128	0.203800033	0.9189901653
129	0.2036779682	0.9191929433
130	0.2035625595	0.9190915543
131	0.2033350539	0.9189901653
132	0.203196041	0.9190915543
133	0.2031285011	0.9189901653
134	0.2030399942	0.9189901653
135	0.2028399978	0.9189901653
136	0.202652712	0.9190915543
137	0.2024586641	0.9189901653
138	0.2023387604	0.9189901653
139	0.2021914703	0.9191929433
140	0.2019824842	0.9191929433
141	0.2018284148	0.9189901653
142	0.2016864152	0.9191929433
143	0.2014611724	0.9191929433
144	0.2012963698	0.9190915543
145	0.2011070936	0.9191929433
146	0.2008989507	0.9190915543
147	0.2007625614	0.9191929433
148	0.2005770269	0.9191929433
149	0.2004423529	0.9192943324
