iter	Passed	Remaining
0	3	3691
1	6	3320
2	9	3272
3	12	3173
4	16	3227
5	19	3201
6	22	3162
7	25	3136
8	28	3107
9	31	3153
10	35	3186
11	38	3201
12	42	3198
13	44	3164
14	49	3244
15	53	3283
16	56	3254
17	59	3249
18	62	3238
19	67	3292
20	70	3266
21	73	3285
22	77	3301
23	81	3325
24	84	3305
25	88	3305
26	91	3301
27	94	3282
28	98	3283
29	101	3291
30	106	3313
31	110	3346
32	116	3412
33	122	3472
34	127	3507
35	132	3551
36	136	3564
37	140	3563
38	145	3576
39	149	3577
40	152	3572
41	156	3575
42	160	3582
43	164	3572
44	167	3558
45	172	3586
46	178	3627
47	182	3614
48	185	3607
49	190	3614
50	195	3632
51	200	3647
52	203	3641
53	208	3658
54	212	3654
55	218	3679
56	223	3696
57	228	3707
58	233	3730
59	238	3730
60	241	3717
61	244	3701
62	247	3688
63	250	3670
64	254	3656
65	257	3638
66	260	3625
67	264	3625
68	267	3615
69	271	3607
70	276	3613
71	279	3601
72	283	3597
73	286	3585
74	289	3574
75	294	3578
76	298	3573
77	301	3566
78	304	3554
79	308	3548
80	312	3543
81	315	3531
82	318	3520
83	321	3511
84	326	3511
85	329	3503
86	332	3492
87	336	3483
88	340	3480
89	343	3470
90	346	3462
91	350	3457
92	353	3450
93	357	3450
94	361	3441
95	364	3434
96	367	3424
97	371	3417
98	374	3410
99	378	3405
100	381	3395
101	384	3388
102	390	3398
103	394	3398
104	398	3393
105	401	3386
106	406	3388
107	410	3388
108	413	3381
109	417	3377
110	421	3377
111	424	3368
112	428	3365
113	432	3358
114	435	3353
115	440	3353
116	443	3343
117	446	3340
118	450	3332
119	453	3327
120	457	3320
121	460	3310
122	463	3302
123	467	3299
124	471	3297
125	473	3287
126	477	3284
127	481	3276
128	484	3269
129	488	3270
130	492	3264
131	495	3258
132	498	3249
133	502	3247
134	506	3243
135	511	3247
136	514	3241
137	521	3255
138	528	3271
139	532	3269
140	537	3273
141	542	3280
142	550	3299
143	556	3305
144	560	3304
145	565	3306
146	570	3308
147	574	3305
148	577	3300
149	581	3296
150	587	3302
151	590	3293
152	593	3287
153	597	3282
154	601	3280
155	607	3284
156	610	3278
157	613	3271
158	617	3267
159	621	3260
160	624	3254
161	628	3251
162	632	3247
163	635	3238
164	638	3233
165	642	3228
166	645	3220
167	649	3215
168	652	3209
169	655	3202
170	659	3195
171	663	3196
172	668	3194
173	673	3196
174	677	3193
175	681	3192
176	684	3184
177	688	3177
178	691	3171
179	694	3164
180	698	3162
181	702	3158
182	706	3152
183	709	3144
184	712	3138
185	716	3134
186	720	3131
187	723	3126
188	726	3119
189	731	3118
190	734	3112
191	738	3106
192	741	3100
193	744	3094
194	750	3097
195	753	3091
196	756	3084
197	760	3079
198	766	3083
199	769	3079
200	773	3073
201	777	3072
202	781	3067
203	788	3074
204	791	3069
205	795	3066
206	800	3067
207	804	3062
208	812	3076
209	817	3076
210	820	3069
211	823	3062
212	827	3059
213	831	3053
214	834	3046
215	838	3042
216	841	3036
217	845	3031
218	848	3026
219	851	3020
220	854	3013
221	858	3009
222	862	3004
223	865	2998
224	868	2991
225	872	2987
226	876	2983
227	879	2978
228	882	2971
229	886	2967
230	889	2962
231	892	2955
232	896	2952
233	900	2946
234	903	2940
235	907	2936
236	910	2931
237	913	2924
238	916	2918
239	919	2912
240	924	2910
241	927	2904
242	930	2899
243	934	2894
244	937	2889
245	941	2885
246	944	2880
247	947	2872
248	950	2866
249	954	2862
250	957	2857
251	960	2851
252	964	2846
253	967	2840
254	970	2834
255	974	2832
256	977	2827
257	980	2820
258	984	2817
259	988	2812
260	991	2806
261	995	2803
262	998	2798
263	1001	2791
264	1004	2787
265	1008	2782
266	1011	2776
267	1016	2775
268	1020	2774
269	1026	2774
270	1031	2775
271	1034	2769
272	1038	2766
273	1042	2760
274	1045	2755
275	1048	2750
276	1052	2747
277	1056	2743
278	1059	2737
279	1062	2733
280	1066	2727
281	1069	2722
282	1073	2718
283	1076	2713
284	1079	2708
285	1082	2702
286	1086	2698
287	1089	2693
288	1093	2691
289	1097	2685
290	1100	2681
291	1104	2677
292	1107	2672
293	1111	2668
294	1114	2663
295	1117	2658
296	1121	2653
297	1124	2648
298	1127	2643
299	1131	2640
300	1134	2634
301	1138	2631
302	1141	2625
303	1144	2620
304	1149	2619
305	1153	2616
306	1156	2611
307	1159	2606
308	1163	2601
309	1166	2596
310	1171	2594
311	1174	2589
312	1178	2587
313	1183	2585
314	1187	2581
315	1190	2577
316	1194	2573
317	1197	2568
318	1200	2563
319	1204	2558
320	1208	2555
321	1211	2549
322	1214	2544
323	1217	2540
324	1221	2536
325	1224	2530
326	1227	2526
327	1230	2521
328	1234	2517
329	1238	2515
330	1243	2514
331	1247	2510
332	1251	2507
333	1255	2503
334	1258	2498
335	1261	2493
336	1266	2491
337	1269	2486
338	1272	2481
339	1276	2477
340	1279	2473
341	1283	2468
342	1286	2464
343	1289	2458
344	1292	2453
345	1295	2448
346	1299	2445
347	1302	2440
348	1306	2437
349	1309	2432
350	1312	2426
351	1316	2424
352	1320	2420
353	1325	2418
354	1328	2414
355	1333	2412
356	1336	2407
357	1339	2402
358	1342	2397
359	1346	2393
360	1349	2388
361	1353	2385
362	1356	2380
363	1359	2376
364	1363	2372
365	1366	2367
366	1369	2362
367	1372	2357
368	1375	2352
369	1379	2348
370	1382	2344
371	1385	2339
372	1389	2335
373	1392	2331
374	1395	2326
375	1399	2321
376	1402	2318
377	1406	2313
378	1409	2309
379	1412	2305
380	1416	2301
381	1419	2296
382	1422	2292
383	1427	2289
384	1430	2285
385	1433	2280
386	1437	2276
387	1440	2271
388	1444	2268
389	1447	2264
390	1451	2260
391	1454	2255
392	1457	2251
393	1461	2248
394	1464	2243
395	1468	2239
396	1471	2235
397	1474	2230
398	1478	2226
399	1481	2222
400	1484	2218
401	1488	2213
402	1492	2211
403	1497	2209
404	1502	2207
405	1506	2203
406	1511	2202
407	1515	2199
408	1519	2196
409	1523	2191
410	1528	2190
411	1531	2186
412	1536	2183
413	1540	2179
414	1544	2176
415	1548	2173
416	1551	2169
417	1555	2165
418	1561	2164
419	1566	2162
420	1572	2162
421	1582	2167
422	1585	2162
423	1590	2161
424	1596	2160
425	1602	2159
426	1605	2154
427	1609	2150
428	1613	2146
429	1616	2142
430	1620	2138
431	1623	2134
432	1626	2129
433	1629	2125
434	1633	2121
435	1636	2116
436	1639	2112
437	1642	2108
438	1646	2103
439	1649	2099
440	1652	2095
441	1657	2092
442	1660	2087
443	1663	2083
444	1667	2079
445	1670	2075
446	1673	2070
447	1677	2066
448	1680	2062
449	1683	2058
450	1687	2054
451	1691	2050
452	1694	2046
453	1697	2041
454	1700	2037
455	1703	2032
456	1707	2028
457	1710	2024
458	1714	2021
459	1718	2017
460	1721	2012
461	1724	2008
462	1728	2005
463	1731	2000
464	1735	1996
465	1738	1992
466	1741	1988
467	1745	1984
468	1749	1980
469	1752	1976
470	1755	1972
471	1759	1968
472	1762	1964
473	1765	1959
474	1769	1955
475	1772	1951
476	1775	1946
477	1778	1942
478	1782	1938
479	1789	1938
480	1795	1937
481	1799	1934
482	1803	1930
483	1807	1926
484	1810	1922
485	1817	1921
486	1821	1918
487	1825	1915
488	1829	1911
489	1832	1907
490	1837	1904
491	1840	1900
492	1844	1896
493	1850	1895
494	1856	1893
495	1859	1889
496	1862	1885
497	1866	1881
498	1870	1878
499	1874	1874
500	1877	1869
501	1880	1865
502	1884	1862
503	1887	1857
504	1891	1853
505	1894	1849
506	1898	1846
507	1902	1842
508	1905	1838
509	1909	1834
510	1913	1831
511	1918	1828
512	1921	1824
513	1925	1820
514	1928	1816
515	1932	1812
516	1935	1808
517	1939	1804
518	1942	1800
519	1945	1795
520	1949	1792
521	1952	1788
522	1955	1783
523	1960	1780
524	1964	1777
525	1968	1773
526	1971	1769
527	1974	1765
528	1978	1761
529	1982	1757
530	1985	1753
531	1989	1749
532	1992	1745
533	1995	1741
534	1999	1737
535	2002	1733
536	2006	1729
537	2009	1725
538	2013	1721
539	2016	1717
540	2020	1713
541	2023	1709
542	2027	1706
543	2030	1702
544	2033	1697
545	2037	1693
546	2040	1689
547	2043	1685
548	2047	1681
549	2050	1678
550	2054	1673
551	2057	1669
552	2060	1665
553	2063	1661
554	2067	1658
555	2071	1654
556	2075	1650
557	2079	1646
558	2082	1642
559	2086	1639
560	2089	1634
561	2092	1630
562	2096	1627
563	2100	1623
564	2103	1619
565	2106	1615
566	2110	1611
567	2114	1607
568	2117	1603
569	2120	1599
570	2124	1595
571	2127	1591
572	2130	1587
573	2133	1583
574	2137	1579
575	2140	1575
576	2144	1571
577	2148	1568
578	2151	1564
579	2154	1560
580	2157	1556
581	2161	1552
582	2164	1548
583	2167	1544
584	2170	1539
585	2174	1536
586	2178	1532
587	2181	1528
588	2185	1524
589	2188	1520
590	2192	1517
591	2195	1513
592	2198	1509
593	2202	1505
594	2205	1501
595	2210	1498
596	2213	1494
597	2217	1490
598	2220	1486
599	2224	1482
600	2227	1479
601	2231	1475
602	2234	1471
603	2237	1466
604	2242	1464
605	2246	1460
606	2249	1456
607	2253	1453
608	2258	1449
609	2262	1446
610	2265	1442
611	2269	1438
612	2275	1436
613	2278	1432
614	2283	1429
615	2287	1426
616	2291	1422
617	2295	1419
618	2299	1415
619	2303	1411
620	2306	1407
621	2310	1404
622	2314	1400
623	2318	1397
624	2322	1393
625	2326	1389
626	2330	1386
627	2334	1382
628	2339	1380
629	2344	1376
630	2349	1373
631	2352	1369
632	2356	1366
633	2360	1362
634	2364	1359
635	2367	1355
636	2371	1351
637	2375	1347
638	2381	1345
639	2384	1341
640	2388	1337
641	2392	1333
642	2398	1331
643	2402	1327
644	2405	1324
645	2408	1320
646	2412	1316
647	2416	1312
648	2420	1308
649	2423	1304
650	2426	1300
651	2430	1297
652	2433	1292
653	2437	1289
654	2440	1285
655	2444	1281
656	2447	1277
657	2450	1273
658	2453	1269
659	2457	1265
660	2460	1261
661	2463	1258
662	2468	1254
663	2472	1251
664	2477	1248
665	2480	1244
666	2484	1240
667	2488	1236
668	2491	1232
669	2494	1228
670	2498	1224
671	2501	1220
672	2504	1217
673	2508	1213
674	2511	1209
675	2515	1205
676	2518	1201
677	2521	1197
678	2524	1193
679	2528	1189
680	2532	1186
681	2535	1182
682	2538	1178
683	2542	1174
684	2545	1170
685	2548	1166
686	2552	1163
687	2555	1159
688	2559	1155
689	2562	1151
690	2566	1147
691	2569	1143
692	2573	1139
693	2577	1136
694	2582	1133
695	2585	1129
696	2588	1125
697	2591	1121
698	2594	1117
699	2598	1113
700	2601	1109
701	2605	1106
702	2608	1102
703	2612	1098
704	2615	1094
705	2618	1090
706	2623	1087
707	2626	1083
708	2631	1080
709	2634	1076
710	2638	1072
711	2641	1068
712	2644	1064
713	2648	1060
714	2651	1057
715	2655	1053
716	2658	1049
717	2662	1045
718	2665	1041
719	2669	1038
720	2672	1034
721	2675	1030
722	2678	1026
723	2681	1022
724	2684	1018
725	2688	1014
726	2691	1010
727	2694	1006
728	2698	1003
729	2702	999
730	2705	995
731	2709	991
732	2713	988
733	2716	984
734	2719	980
735	2723	976
736	2727	973
737	2731	969
738	2735	965
739	2738	962
740	2742	958
741	2746	954
742	2749	950
743	2752	947
744	2757	943
745	2761	940
746	2766	937
747	2770	933
748	2773	929
749	2778	926
750	2781	922
751	2784	918
752	2788	914
753	2791	910
754	2795	906
755	2798	903
756	2801	899
757	2804	895
758	2809	891
759	2812	888
760	2815	884
761	2818	880
762	2822	876
763	2826	873
764	2829	869
765	2832	865
766	2836	861
767	2839	857
768	2842	853
769	2846	850
770	2849	846
771	2853	842
772	2856	838
773	2859	835
774	2862	831
775	2866	827
776	2870	823
777	2874	820
778	2877	816
779	2880	812
780	2883	808
781	2887	804
