iter	Logloss	Accuracy
0	0.6292981575	0.8961832061
1	0.5668546671	0.8944656489
2	0.5198438133	0.8979007634
3	0.4817676087	0.8999045802
4	0.4372102639	0.8986641221
5	0.4057228867	0.8994274809
6	0.3826872524	0.9006679389
7	0.3598783624	0.9022900763
8	0.3452933681	0.9016221374
9	0.3308330876	0.9016221374
10	0.315531512	0.9028625954
11	0.3038532382	0.9020992366
12	0.2924303513	0.9033396947
13	0.2846582235	0.903721374
14	0.2780256277	0.9058206107
15	0.272257841	0.9055343511
16	0.268725571	0.9048664122
17	0.2631340654	0.905629771
18	0.2591626117	0.9059160305
19	0.2563411134	0.9065839695
20	0.2534112262	0.9059160305
21	0.2495646152	0.9066793893
22	0.247661166	0.9064885496
23	0.2457599617	0.9074427481
24	0.2428043195	0.9073473282
25	0.2400655624	0.9071564885
26	0.2383253405	0.9073473282
27	0.2370817734	0.9076335878
28	0.2355104006	0.9082061069
29	0.2340709263	0.9083015267
30	0.2317272247	0.9089694656
31	0.2294629489	0.9084923664
32	0.2276348764	0.9089694656
33	0.2269233774	0.9094465649
34	0.2261819613	0.9101145038
35	0.225571083	0.9110687023
36	0.2249591915	0.9110687023
37	0.2238089145	0.9113549618
38	0.2230784962	0.9117366412
39	0.2227194789	0.9120229008
40	0.221890105	0.9125
41	0.2212455742	0.9126908397
42	0.2208197168	0.9128816794
43	0.2203808953	0.9128816794
44	0.2195037481	0.9130725191
45	0.2191112762	0.9131679389
46	0.2188661656	0.9131679389
47	0.2184405549	0.9136450382
48	0.2175926115	0.9134541985
49	0.2173068756	0.9133587786
50	0.2170231122	0.9135496183
51	0.2165495581	0.9138358779
52	0.216078632	0.9140267176
53	0.2157804548	0.9141221374
54	0.2148702079	0.9134541985
55	0.2144085764	0.9134541985
56	0.2140542845	0.9142175573
57	0.2137246565	0.9141221374
58	0.2129010143	0.9145038168
59	0.2126415478	0.9147900763
60	0.2124673354	0.914980916
61	0.2118704474	0.914980916
62	0.2113764161	0.9150763359
63	0.2109210819	0.9151717557
64	0.2106514686	0.9155534351
65	0.2104679827	0.9155534351
66	0.2100355512	0.9157442748
67	0.2093763402	0.9161259542
68	0.2091202721	0.9158396947
69	0.2087593078	0.9155534351
70	0.2085304511	0.9160305344
71	0.2083029425	0.9160305344
72	0.2081164715	0.916221374
73	0.2077297268	0.9163167939
74	0.2073013855	0.916221374
75	0.2069920337	0.9160305344
76	0.2068050452	0.916221374
77	0.206590709	0.9163167939
78	0.2057968246	0.9163167939
79	0.2055563989	0.9164122137
80	0.2053207551	0.9167938931
81	0.205057354	0.9166984733
82	0.2046856641	0.916889313
83	0.2044953785	0.9166984733
84	0.2040698126	0.9166030534
85	0.2039476236	0.9170801527
86	0.2036817618	0.9170801527
87	0.2034820473	0.9173664122
88	0.2032834669	0.9175572519
89	0.2030500127	0.9174618321
90	0.2027724336	0.9175572519
91	0.2026144586	0.9177480916
92	0.2024266378	0.9174618321
93	0.2021423095	0.9176526718
94	0.201794112	0.9177480916
95	0.2015366213	0.9179389313
96	0.2013242838	0.9178435115
97	0.2009746009	0.9179389313
98	0.2005447359	0.9176526718
99	0.2003267416	0.9180343511
100	0.2001713175	0.9186068702
101	0.2000237875	0.9186068702
102	0.199770492	0.9187022901
103	0.1995127652	0.9187977099
104	0.199346018	0.9188931298
105	0.1992248362	0.9188931298
