iter	Passed	Remaining
0	140	140549
1	148	74136
2	155	51691
3	163	40589
4	169	33776
5	175	29023
6	180	25565
7	184	22937
8	189	20848
9	195	19323
10	201	18090
11	206	16967
12	211	16036
13	215	15173
14	220	14463
15	225	13855
16	229	13284
17	234	12775
18	238	12332
19	243	11917
20	247	11541
21	252	11216
22	257	10944
23	262	10673
24	266	10405
25	271	10171
26	276	9948
27	280	9730
28	284	9536
29	289	9356
30	293	9186
31	298	9019
32	302	8864
33	306	8718
34	311	8580
35	315	8451
36	320	8330
37	324	8212
38	328	8099
39	332	7987
40	336	7882
41	341	7788
42	345	7694
43	350	7619
44	354	7533
45	359	7454
46	363	7376
47	368	7306
48	372	7234
49	377	7165
50	381	7097
51	385	7033
52	390	6969
53	394	6906
54	398	6849
55	403	6793
56	407	6735
57	411	6682
58	415	6632
59	420	6582
60	424	6531
61	429	6490
62	433	6442
63	437	6396
64	441	6354
65	445	6311
66	450	6272
67	454	6235
68	459	6200
69	464	6170
70	469	6143
71	474	6113
72	479	6088
73	484	6064
74	490	6051
75	496	6030
76	501	6011
77	507	5996
78	512	5979
79	518	5960
80	523	5944
81	529	5924
82	534	5908
83	539	5887
84	545	5871
85	550	5852
86	556	5838
87	561	5821
88	567	5809
89	572	5793
90	578	5773
91	582	5753
92	588	5740
93	593	5724
94	600	5716
95	605	5702
96	610	5687
97	615	5668
98	621	5653
99	626	5639
100	631	5618
101	636	5604
102	642	5592
103	647	5577
104	653	5566
105	658	5551
106	663	5536
107	669	5528
108	674	5515
109	679	5500
110	685	5488
111	690	5474
112	695	5461
113	700	5447
114	706	5434
115	711	5423
116	716	5411
117	722	5401
118	728	5391
119	733	5380
120	739	5368
121	744	5358
122	749	5346
123	755	5335
124	761	5328
125	766	5319
126	771	5306
127	777	5293
128	782	5286
129	788	5277
130	793	5261
131	797	5244
132	801	5227
133	806	5211
134	810	5191
135	814	5175
136	818	5159
137	823	5141
138	827	5127
139	831	5110
140	836	5093
141	840	5077
142	844	5062
143	849	5048
144	853	5032
145	857	5018
146	862	5002
147	866	4988
148	870	4974
149	876	4964
150	880	4951
151	885	4937
152	889	4923
153	893	4909
154	897	4895
155	901	4879
156	906	4868
157	911	4856
158	916	4845
159	920	4832
160	925	4821
161	929	4809
162	934	4798
163	939	4788
164	943	4776
165	948	4766
166	953	4754
167	958	4744
168	962	4733
169	967	4723
170	972	4713
171	976	4702
172	981	4693
173	986	4683
174	991	4673
175	995	4662
176	1000	4652
177	1005	4642
178	1010	4632
179	1015	4627
180	1020	4616
181	1024	4605
182	1028	4593
183	1033	4581
184	1037	4569
185	1041	4557
186	1045	4546
187	1049	4534
188	1054	4523
189	1058	4511
190	1062	4499
191	1066	4488
192	1070	4477
193	1075	4467
194	1079	4456
195	1083	4444
196	1087	4434
197	1092	4424
198	1096	4412
199	1100	4401
200	1104	4391
201	1109	4381
202	1113	4370
203	1117	4360
204	1123	4356
205	1127	4347
206	1132	4337
207	1136	4329
208	1141	4319
209	1145	4309
210	1150	4300
211	1154	4291
212	1158	4280
213	1162	4269
214	1167	4261
215	1171	4251
216	1175	4241
217	1179	4231
218	1183	4221
219	1188	4212
220	1192	4204
221	1197	4195
222	1201	4187
223	1206	4179
224	1210	4170
225	1215	4162
226	1219	4153
227	1224	4144
228	1228	4136
229	1234	4134
230	1240	4129
231	1245	4122
232	1250	4115
233	1254	4106
234	1259	4098
235	1264	4092
236	1270	4088
237	1274	4080
238	1278	4072
239	1283	4065
240	1288	4056
241	1292	4047
242	1296	4039
243	1300	4030
244	1305	4022
245	1309	4013
246	1313	4004
247	1318	3998
248	1324	3993
249	1329	3988
250	1334	3983
251	1341	3980
252	1347	3977
253	1351	3970
254	1356	3962
255	1360	3953
256	1365	3947
257	1370	3941
258	1375	3934
259	1380	3929
260	1386	3924
261	1391	3919
262	1396	3913
263	1400	3905
264	1406	3900
265	1411	3895
266	1417	3891
267	1422	3885
268	1428	3881
269	1434	3877
270	1439	3871
271	1444	3865
272	1449	3859
273	1455	3855
274	1460	3850
275	1465	3843
276	1469	3836
277	1475	3831
278	1480	3825
279	1485	3819
280	1490	3812
281	1495	3807
282	1500	3802
283	1506	3797
284	1511	3791
285	1517	3787
286	1522	3782
287	1528	3777
288	1533	3772
289	1538	3766
290	1543	3761
291	1548	3755
292	1553	3748
293	1558	3743
294	1564	3737
295	1569	3732
296	1586	3754
297	1592	3750
298	1597	3745
299	1602	3740
300	1608	3735
301	1614	3730
302	1619	3725
303	1625	3720
304	1631	3716
305	1636	3711
306	1641	3706
307	1647	3702
308	1653	3698
309	1660	3695
310	1665	3690
311	1671	3686
312	1677	3682
313	1682	3676
314	1688	3672
315	1694	3666
316	1699	3661
317	1705	3658
318	1711	3653
319	1716	3648
320	1722	3643
321	1728	3638
322	1733	3633
323	1739	3629
324	1745	3624
325	1750	3619
326	1755	3613
327	1761	3608
328	1766	3603
329	1772	3598
330	1778	3593
331	1783	3588
332	1789	3583
333	1794	3579
334	1800	3573
335	1806	3569
336	1812	3565
337	1818	3560
338	1823	3556
339	1829	3551
340	1835	3547
341	1840	3541
342	1846	3537
343	1851	3531
344	1857	3525
345	1862	3520
346	1867	3515
347	1873	3509
348	1879	3505
349	1883	3498
350	1888	3491
351	1894	3487
352	1900	3483
353	1905	3477
354	1911	3472
355	1916	3467
356	1922	3462
357	1928	3457
358	1933	3451
359	1938	3446
360	1944	3442
361	1950	3438
362	1955	3432
363	1960	3426
364	1965	3419
365	1971	3414
366	1976	3409
367	1982	3404
368	1987	3399
369	1993	3394
370	1998	3388
371	2003	3382
372	2009	3378
373	2014	3372
374	2020	3367
375	2026	3363
376	2031	3356
377	2035	3349
378	2039	3342
379	2043	3334
380	2048	3327
381	2052	3320
382	2056	3313
383	2061	3306
384	2066	3300
385	2070	3293
386	2074	3286
387	2079	3279
388	2083	3272
389	2087	3265
390	2092	3258
391	2096	3251
392	2101	3245
393	2105	3238
394	2109	3231
395	2114	3225
396	2118	3218
397	2122	3211
398	2127	3204
399	2132	3198
400	2136	3190
401	2140	3184
402	2145	3177
403	2149	3171
404	2153	3164
405	2159	3159
406	2164	3153
407	2169	3147
408	2174	3142
409	2180	3137
410	2184	3131
411	2189	3124
412	2193	3117
413	2197	3111
414	2202	3104
415	2206	3097
416	2210	3091
417	2215	3084
418	2219	3077
419	2224	3071
420	2228	3064
421	2232	3058
422	2237	3051
423	2241	3044
424	2245	3037
425	2249	3031
426	2253	3024
427	2258	3018
428	2262	3011
429	2267	3005
430	2271	2998
431	2275	2992
432	2280	2986
433	2284	2979
434	2288	2972
435	2293	2966
436	2297	2960
437	2301	2953
438	2306	2947
439	2310	2940
440	2314	2933
441	2318	2926
442	2323	2921
443	2328	2915
444	2332	2909
445	2336	2902
446	2341	2897
447	2346	2891
448	2350	2884
449	2355	2878
450	2359	2872
451	2363	2866
452	2368	2859
453	2372	2853
454	2376	2846
455	2381	2840
456	2385	2834
457	2389	2828
458	2393	2821
459	2398	2815
460	2402	2808
461	2406	2802
462	2410	2796
463	2415	2789
464	2419	2784
465	2424	2778
466	2428	2772
467	2433	2766
468	2437	2760
469	2442	2753
470	2446	2747
471	2450	2741
472	2455	2735
473	2459	2729
474	2463	2723
475	2467	2716
476	2472	2710
477	2476	2704
478	2481	2698
479	2485	2692
480	2489	2686
481	2493	2680
482	2498	2674
483	2502	2668
484	2507	2662
485	2511	2656
486	2515	2650
487	2520	2644
488	2524	2638
489	2528	2632
490	2532	2625
491	2537	2619
492	2544	2616
493	2552	2614
494	2556	2608
495	2560	2602
496	2565	2596
497	2569	2590
498	2574	2584
499	2578	2578
500	2582	2572
501	2587	2566
502	2591	2560
503	2595	2554
504	2600	2548
505	2604	2543
506	2609	2537
507	2613	2531
508	2618	2526
509	2623	2520
510	2627	2514
511	2631	2508
512	2636	2502
513	2641	2497
514	2645	2491
515	2650	2486
516	2655	2480
517	2659	2474
518	2664	2469
519	2668	2462
520	2672	2456
521	2676	2451
522	2680	2445
523	2685	2439
524	2689	2433
525	2694	2428
526	2698	2422
527	2703	2416
528	2707	2410
529	2712	2405
530	2716	2399
531	2720	2393
532	2725	2387
533	2729	2381
534	2733	2375
535	2737	2370
536	2741	2364
537	2746	2358
538	2750	2352
539	2754	2346
540	2759	2340
541	2763	2335
542	2767	2329
543	2772	2323
544	2776	2317
545	2780	2312
546	2784	2306
547	2789	2300
548	2793	2294
549	2797	2288
550	2801	2283
551	2805	2277
552	2810	2272
553	2815	2266
554	2819	2260
555	2823	2255
556	2828	2249
557	2832	2244
558	2837	2238
559	2841	2232
560	2846	2227
561	2850	2221
562	2854	2215
563	2859	2210
564	2864	2205
565	2869	2200
566	2873	2194
567	2879	2189
568	2883	2184
569	2888	2178
570	2892	2173
571	2897	2168
572	2902	2162
573	2906	2157
574	2910	2151
575	2915	2145
576	2919	2140
577	2924	2134
578	2928	2129
579	2932	2123
580	2936	2118
581	2941	2112
582	2945	2107
583	2950	2101
584	2954	2095
585	2958	2090
586	2963	2084
587	2967	2079
588	2971	2073
589	2975	2067
590	2979	2062
591	2984	2056
592	2988	2051
593	2993	2045
594	2997	2040
595	3001	2034
596	3006	2029
597	3010	2023
598	3014	2018
599	3019	2012
600	3023	2007
601	3027	2001
602	3032	1996
603	3036	1990
604	3047	1989
605	3052	1984
606	3056	1979
607	3061	1973
608	3065	1968
609	3070	1963
610	3074	1957
611	3078	1951
612	3083	1946
613	3087	1941
614	3092	1936
615	3096	1930
616	3101	1925
617	3106	1919
618	3110	1914
619	3116	1910
620	3122	1905
621	3128	1900
622	3133	1896
623	3139	1891
624	3145	1887
625	3151	1882
626	3157	1878
627	3163	1873
628	3168	1868
